DATE,Sales Per Day
11/1/2009,11559.25612
12/1/2009,13345.69687
1/1/2010,10263.27397
2/1/2010,11232.71492
3/1/2010,11826.47784
4/1/2010,12051.13205
5/1/2010,11957.93772
6/1/2010,12146.05693
7/1/2010,11796.68188
8/1/2010,11829.8267
9/1/2010,11649.34775
10/1/2010,11503.84192
11/1/2010,12358.28892
12/1/2010,14034.48191
1/1/2011,10800.79536
2/1/2011,11972.62774
3/1/2011,12376.40706
4/1/2011,12506.20151
5/1/2011,12418.98975
6/1/2011,12745.11981
7/1/2011,12115.62156
8/1/2011,12461.49844
9/1/2011,12168.33071
10/1/2011,11888.50168
11/1/2011,12785.69964
12/1/2011,14389.07212
1/1/2012,11073.70687
2/1/2012,12417.20912
3/1/2012,12886.56392
4/1/2012,12595.5471
5/1/2012,13050.21852
6/1/2012,12879.08621
7/1/2012,12299.63021
8/1/2012,12975.28185
9/1/2012,12256.48395
10/1/2012,12285.64984
11/1/2012,13173.13825
12/1/2012,14416.74673
1/1/2013,11527.21628
2/1/2013,12637.57665
3/1/2013,12883.67758
4/1/2013,12942.5286
5/1/2013,13437.89551
6/1/2013,13138.95654
7/1/2013,12947.27562
8/1/2013,13306.94665
9/1/2013,12474.35422
10/1/2013,12652.64441
11/1/2013,13355.01492
12/1/2013,14665.41563
1/1/2014,11569.58022
2/1/2014,12677.57929
3/1/2014,12998.22149
4/1/2014,13417.19494
5/1/2014,13778.98706
6/1/2014,13441.47226
7/1/2014,13295.44181
8/1/2014,13528.78346
9/1/2014,13026.98643
10/1/2014,13075.31016
11/1/2014,13631.56161
12/1/2014,15277.55445
1/1/2015,11925.29143
2/1/2015,12845.97841
3/1/2015,13319.27753
4/1/2015,13557.2129
5/1/2015,13813.94695
6/1/2015,13852.82296
7/1/2015,13670.96618
8/1/2015,13617.75852
9/1/2015,13304.56766
10/1/2015,13212.468
11/1/2015,13751.09225
12/1/2015,15655.93016
1/1/2016,11837.19618
2/1/2016,13097.13462
3/1/2016,13632.52255
4/1/2016,13696.25355
5/1/2016,13833.64907
6/1/2016,14159.15784
7/1/2016,13565.50868
8/1/2016,13898.79509
9/1/2016,13563.75286
10/1/2016,13198.45757
11/1/2016,14201.14467
12/1/2016,15968.5588
1/1/2017,12143.56926
2/1/2017,13340.78911
3/1/2017,13956.20298
4/1/2017,13884.32202
5/1/2017,14370.79595
6/1/2017,14437.57168
7/1/2017,13754.84784
8/1/2017,14181.32269
9/1/2017,13928.74791
10/1/2017,13627.21421
11/1/2017,14883.40174
12/1/2017,16272.48387
